TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
13,TRAIN,NS22,49681,52586
16,TRAIN,NS4,4772,3921
16,TRAIN,BP1,28849,39693
19,TRAIN,BP3,3137,11316
0,TRAIN,EW11,73,392
14,TRAIN,NS2,18404,19092
5,TRAIN,DT31,1541,71
21,TRAIN,CC5,4224,2783
15,TRAIN,NE13,16129,18611
21,TRAIN,NE13,12977,19497
12,TRAIN,NS9,29547,34779
14,TRAIN,CC5,3036,3325
16,TRAIN,PE5,3842,6172
9,TRAIN,NE9,27049,23281
17,TRAIN,BP10,2998,6852
11,TRAIN,DT29,4669,1674
12,TRAIN,NS19,36574,31366
14,TRAIN,DT10,9005,2637
11,TRAIN,SE1,3178,1833
22,TRAIN,EW3,5412,15044
16,TRAIN,EW26,20541,25077
8,TRAIN,NS19,75405,66468
18,TRAIN,SW3,2324,5392
7,TRAIN,SW5,21749,6179
18,TRAIN,NE15,12850,50438
21,TRAIN,SE3,590,4269
22,TRAIN,PW1,501,146
5,TRAIN,NE16-STC,8306,2848
16,TRAIN,DT6,9848,5516
5,TRAIN,BP7,1556,382
19,TRAIN,PW5,1713,7082
9,TRAIN,PE1,4589,1110
13,TRAIN,BP8,2498,1557
18,TRAIN,NE11,14846,6884
9,TRAIN,CC7,6629,6806
18,TRAIN,EW10,15947,27426
16,TRAIN,SW3,1899,2932
6,TRAIN,EW13-NS25,2180,15986
5,TRAIN,PE2,1850,141
17,TRAIN,PE7,3884,5574
19,TRAIN,NE15,8722,43806
21,TRAIN,EW11,11207,13541
16,TRAIN,EW31,5269,587
23,TRAIN,CC16,1038,2850
17,TRAIN,EW11,33714,18807
5,TRAIN,NE17-PTC,8136,1913
12,TRAIN,BP4,10074,7288
20,TRAIN,CC4-DT15,23028,5763
21,TRAIN,NS19,23303,40226
13,TRAIN,NS11,24994,24488
17,TRAIN,NS14,31651,46164
6,TRAIN,DT3,8817,1217
5,TRAIN,CC5,362,24
12,TRAIN,EW14-NS26,54126,34612
13,TRAIN,NE15,12083,9897
18,TRAIN,EW18,48184,35187
12,TRAIN,PE3,5264,4197
11,TRAIN,DT33,11958,3986
9,TRAIN,DT34,5976,5356
0,TRAIN,NS13,1136,5326
22,TRAIN,BP3,1205,4361
16,TRAIN,DT23,3148,2185
23,TRAIN,CC26,1103,688
12,TRAIN,EW6,7966,6993
16,TRAIN,NS15,43847,16540
8,TRAIN,PW5,5452,1686
12,TRAIN,DT27,5537,4305
20,TRAIN,NE11,4258,4065
17,TRAIN,EW10,12080,15232
6,TRAIN,CC26,1669,11679
16,TRAIN,BP9,2355,2559
16,TRAIN,SW5,5879,7834
13,TRAIN,DT20,5263,6403
18,TRAIN,NE9,48479,41847
11,TRAIN,PE5,4023,2424
12,TRAIN,PW5,1948,2063
15,TRAIN,BP9,2923,2203
5,TRAIN,EW22,566,782
9,TRAIN,EW3,20636,10222
6,TRAIN,BP5,4878,1718
9,TRAIN,DT21,3874,12594
20,TRAIN,CC24,23332,3528
5,TRAIN,EW19,2220,322
15,TRAIN,SW1,1669,1358
0,TRAIN,SW5,91,690
5,TRAIN,PE3,1319,184
5,TRAIN,SW4,364,30
15,TRAIN,EW17,18327,23446
20,TRAIN,BP8,2182,2373
21,TRAIN,DT8,2062,1826
11,TRAIN,NE8,14487,19803
0,TRAIN,NS2,472,2440
7,TRAIN,SE1,12070,11409
18,TRAIN,DT23,20331,6692
15,TRAIN,DT21,6051,5717
21,TRAIN,NS14,14081,39326
11,TRAIN,NE15,11173,4930
7,TRAIN,EW29,15293,117233
7,TRAIN,NS28,769,4025
6,TRAIN,EW26,65916,23726
18,TRAIN,NS28,2483,1590
6,TRAIN,PE5,11407,1172
23,TRAIN,BP2,190,1272
7,TRAIN,EW11,19692,23266
18,TRAIN,CC16,29201,21777
5,TRAIN,CC25,894,241
13,TRAIN,EW28,18926,14470
18,TRAIN,NS2,50698,83246
10,TRAIN,BP13,1382,638
23,TRAIN,NS14,4850,16844
5,TRAIN,CC16,1722,433
14,TRAIN,CC28,2285,2482
12,TRAIN,EW28,19484,13185
20,TRAIN,CC3,10094,2468
21,TRAIN,EW29,11790,6243
8,TRAIN,CC21,12827,8286
23,TRAIN,CC21,3371,2206
9,TRAIN,NS18,21085,11577
23,TRAIN,DT31,1081,4290
18,TRAIN,DT29,10146,21547
17,TRAIN,CC11,51122,9726
9,TRAIN,BP9,3200,1749
15,TRAIN,BP6,10380,11634
15,TRAIN,DT1,13442,22734
9,TRAIN,DT1,45695,7866
9,TRAIN,BP6,6150,17621
8,TRAIN,EW13-NS25,9269,92017
12,TRAIN,EW27,31146,31715
14,TRAIN,SE3,2348,2717
8,TRAIN,PE7,9362,2414
10,TRAIN,DT31,6096,3427
12,TRAIN,PW7,1623,1565
22,TRAIN,CC26,2450,1603
11,TRAIN,DT8,2821,3906
9,TRAIN,NE14,48587,11579
15,TRAIN,BP10,2109,4064
0,TRAIN,NS3,325,1787
21,TRAIN,PE1,872,4360
7,TRAIN,PW7,7479,3085
23,TRAIN,NS2,3773,10393
19,TRAIN,EW28,25645,50372
16,TRAIN,DT28,5846,6837
5,TRAIN,NS10,25439,2217
20,TRAIN,DT20,6163,6185
22,TRAIN,EW24-NS1,60206,28226
20,TRAIN,SW4,708,2202
9,TRAIN,CC8,8629,4953
12,TRAIN,EW23,31883,33670
17,TRAIN,EW22,40556,12020
7,TRAIN,NS10,178394,53858
18,TRAIN,PW7,2467,5355
16,TRAIN,SE1,3255,3845
22,TRAIN,DT5,5627,9801
16,TRAIN,BP8,2307,1809
21,TRAIN,BP1,16773,40673
21,TRAIN,NS4,3014,2478
10,TRAIN,EW22,7864,21853
5,TRAIN,PW4,332,0
16,TRAIN,EW11,17630,14543
10,TRAIN,NE16-STC,31868,20355
17,TRAIN,BP11,3355,6103
6,TRAIN,DT24,8887,1918
0,TRAIN,CC11,99,735
11,TRAIN,CC3,2218,6145
0,TRAIN,NE13,89,1050
0,TRAIN,BP1,1069,3601
8,TRAIN,BP6,8631,37226
8,TRAIN,DT1,104999,12525
0,TRAIN,EW6,77,691
8,TRAIN,DT33,70481,9797
17,TRAIN,SE5,2982,3274
21,TRAIN,BP2,814,4457
15,TRAIN,EW5,25271,27565
20,TRAIN,EW3,9821,23001
8,TRAIN,DT7,5178,14126
20,TRAIN,NS7,14411,21350
20,TRAIN,PW5,1205,5614
5,TRAIN,DT18,47,2
17,TRAIN,DT23,10551,3234
9,TRAIN,CC21,7284,8225
17,TRAIN,EW27,77379,89410
