LATITUDE,LONGITUDE,NUMBER,X,Y,NAME
1.299454465,103.8526798,7561,30154.735,31312.5993,Bef Waterloo St Middle Rd
1.299495313,103.853014,7569,30191.919,31317.1164,Aft Waterloo St Middle Rd
1.300634446,103.8511401,7571,29983.3742,31443.0743,Sunshine Plaza Middle Rd
1.303206098,103.8555,7589,30468.5901,31727.4382,Ch of Our Lady of Lourdes Ophir Rd
1.29706985,103.8436103,8011,29145.376,31048.915,Opp Haw Par Glass Twr Clemenceau Ave
1.296246337,103.8440701,8019,29196.5487,30957.8554,Aft Haw Par Glass Twr Clemenceau Ave
1.298311538,103.845257,8031,29328.6355,31186.2152,Dhoby Ghaut Stn Exit B Penang Rd
1.298110142,103.8478064,8041,29612.3623,31163.9474,YMCA Orchard Rd
1.299309973,103.8452902,8057,29332.336,31296.617,Dhoby Ghaut Stn Orchard Rd
1.298958343,103.8465412,8058,29471.5544,31257.7363,Aft Dhoby Ghaut Stn Orchard Rd
1.298213823,103.8493613,8069,29785.4104,31175.4129,Bencoolen Stn Exit B Bras Basah Rd
1.299214444,103.8491033,8079,29756.6975,31286.0563,Sch of the Arts Prinsep St
1.299869287,103.8409375,8111,28847.9132,31358.4612,Winsland Hse Penang Rd
1.300275693,103.8387762,8121,28607.3825,31403.3989,Somerset Stn Somerset Rd
1.300739684,103.841005,8137,28855.4303,31454.7053,Orchard Plaza Orchard Rd
1.300478573,103.841847,8138,28949.1372,31425.8333,Concorde Hotel S`pore Orchard Rd
1.302113351,103.8343167,9011,28111.0844,31606.597,Opp Ngee Ann City Orchard Turn
1.302528348,103.8323978,9022,27897.5304,31652.4852,Bef Orchard Stn Exit B Orchard Blvd
1.303237273,103.8325418,9023,27913.5516,31730.8745,Opp Orchard Stn/ION Orchard Turn
1.302340042,103.8370125,9037,28411.1036,31631.6636,Opp Mandarin Orchard Orchard Rd
1.301542625,103.8385248,9038,28579.4074,31543.4896,Opp Somerset Stn Orchard Rd
1.304460652,103.8329447,9047,27958.3876,31866.1495,Orchard Stn/Tang Plaza Orchard Rd
1.303866845,103.8341307,9048,28090.3817,31800.4893,Orchard Stn/Lucky Plaza Orchard Rd
1.300442517,103.836238,9059,28324.91,31421.845,Natl Youth Council Grange Rd
1.304537526,103.8291453,9111,27535.5519,31874.6502,Opp Four Seasons Hotel Orchard Blvd
1.303973792,103.8269965,9121,27296.405,31812.3159,Bef Tomlinson Rd Orchard Blvd
1.30392,103.8233381,9131,26889.259,31806.3691,Grange Residences Grange Rd
